news_headline,news_article,news_category,full_text
Breathe healthy with India’s no.1 air purifier brand: Philips,"Next to pollution, the air we breathe can also carry particles like allergens, pollen, dust mites, bacteria, and virus from various sources. Philips Air Purifiers superior filtration aims to remove up to 99.97% particles as small as 0.003 microns. Health experts and WHO have also recommended the use of air purifiier to minimize indoor air pollution.",technology,"Breathe healthy with India’s no.1 air purifier brand: Philips. Next to pollution, the air we breathe can also carry particles like allergens, pollen, dust mites, bacteria, and virus from various sources. Philips Air Purifiers superior filtration aims to remove up to 99.97% particles as small as 0.003 microns. Health experts and WHO have also recommended the use of air purifiier to minimize indoor air pollution."
"Sunny Leone becomes 1st B'wood actress to sell an NFT, says 'It sold out immediately'","Sunny Leone has ventured into the NFT (non-fungible token) space after she made an announcement to enter the marketplace. She has gone on to mint her NFTs, becoming the first Bollywood actress to sell an NFT. Talking about her first collectible, Sunny said, ""This was a private sale and it sold out immediately. I'm beyond excited about...hype behind my collection.""",technology,"Sunny Leone becomes 1st B'wood actress to sell an NFT, says 'It sold out immediately'. Sunny Leone has ventured into the NFT (non-fungible token) space after she made an announcement to enter the marketplace. She has gone on to mint her NFTs, becoming the first Bollywood actress to sell an NFT. Talking about her first collectible, Sunny said, ""This was a private sale and it sold out immediately. I'm beyond excited about...hype behind my collection."""
"Facebook violates its own rules, verifies page of Bitcoin scammer posing as Musk","Facebook verified a fan page for Elon Musk with 1,53,000 followers as the official page representing the Tesla CEO, in violation of the social media platform's own rules. The Facebook Page with Musk's photo as its profile picture had around 10 posts, including one that was a phony Bitcoin giveaway. The Facebook Page in question is no longer available.",technology,"Facebook violates its own rules, verifies page of Bitcoin scammer posing as Musk. Facebook verified a fan page for Elon Musk with 1,53,000 followers as the official page representing the Tesla CEO, in violation of the social media platform's own rules. The Facebook Page with Musk's photo as its profile picture had around 10 posts, including one that was a phony Bitcoin giveaway. The Facebook Page in question is no longer available."
Epic Games' Fortnite to shut down in China amid crackdown on gaming,"Epic Games announced that it's shutting down Fortress Night, the Chinese version of popular battle royale game Fortnite, which has been available in China in a ""test"" mode since 2018. The game stopped new sign-ups on Monday and its servers will completely shut down on November 15. Earlier, China banned under-18s from playing games for over three hours a week.",technology,"Epic Games' Fortnite to shut down in China amid crackdown on gaming. Epic Games announced that it's shutting down Fortress Night, the Chinese version of popular battle royale game Fortnite, which has been available in China in a ""test"" mode since 2018. The game stopped new sign-ups on Monday and its servers will completely shut down on November 15. Earlier, China banned under-18s from playing games for over three hours a week."
Can't tell the difference between iPhone 13 & iPhone 12: Apple Co-founder,"Apple Co-founder Steve Wozniak said he got the new iPhone but ""can't tell the difference"" between iPhone 13 and its predecessor iPhone 12. ""The software that's in it applies to older iPhones, I presume and that's the good part. I got the new watch. I can't tell the difference,"" he added. Wozniak founded Apple Computer with Steve Jobs in 1976.",technology,"Can't tell the difference between iPhone 13 & iPhone 12: Apple Co-founder. Apple Co-founder Steve Wozniak said he got the new iPhone but ""can't tell the difference"" between iPhone 13 and its predecessor iPhone 12. ""The software that's in it applies to older iPhones, I presume and that's the good part. I got the new watch. I can't tell the difference,"" he added. Wozniak founded Apple Computer with Steve Jobs in 1976."
Can meet Musk anywhere in 'space or on Earth' to discuss world hunger: UN official,"UN World Food Programme's Chief David Beasley said he's ready to meet Elon Musk ""anywhere - Earth or space"" to explain how he could help alleviate hunger. ""I suggest [meeting] in the field where you can see WFP's...processes and...technology at work,"" he added. Earlier, Musk said he'd donate $6 billion if UN can explain how that would solve world hunger.",technology,"Can meet Musk anywhere in 'space or on Earth' to discuss world hunger: UN official. UN World Food Programme's Chief David Beasley said he's ready to meet Elon Musk ""anywhere - Earth or space"" to explain how he could help alleviate hunger. ""I suggest [meeting] in the field where you can see WFP's...processes and...technology at work,"" he added. Earlier, Musk said he'd donate $6 billion if UN can explain how that would solve world hunger."
UPI transactions touch $100 billion for 1st time in India in October,"The value of Unified Payments Interface (UPI) transactions hit $100 billion for the first time in October, as per data released by the National Payments Corporation of India (NPCI). Around 4.2 billion UPI transactions amounting to $103 billion (₹7.7 lakh crore) took place during the month. The value rose by 18% from $87.5 billion (₹6.54 lakh crore) in September.",technology,"UPI transactions touch $100 billion for 1st time in India in October. The value of Unified Payments Interface (UPI) transactions hit $100 billion for the first time in October, as per data released by the National Payments Corporation of India (NPCI). Around 4.2 billion UPI transactions amounting to $103 billion (₹7.7 lakh crore) took place during the month. The value rose by 18% from $87.5 billion (₹6.54 lakh crore) in September."
Meta whistleblower Frances Haugen says Zuckerberg should step down,"Meta whistleblower Frances Haugen has said the firm's CEO Mark Zuckerberg should step down. ""I think it's unlikely the company will change if he remains the CEO,"" she said. ""It doesn't make him a bad person to have made mistakes...But it's unacceptable to continue to make the same bad mistakes,"" Haugen added. She had earlier testified in the US Senate.
",technology,"Meta whistleblower Frances Haugen says Zuckerberg should step down. Meta whistleblower Frances Haugen has said the firm's CEO Mark Zuckerberg should step down. ""I think it's unlikely the company will change if he remains the CEO,"" she said. ""It doesn't make him a bad person to have made mistakes...But it's unacceptable to continue to make the same bad mistakes,"" Haugen added. She had earlier testified in the US Senate.
"
Amazon to launch its 1st internet satellites in late 2022,"Amazon has said it's planning to launch its first satellites for internet services in the fourth quarter of 2022. The company has filed a request with the Federal Communications Commission to launch and operate the first two prototype satellites for Project Kuiper, called KuiperSat-1 and KuiperSat-2. Amazon first announced plans to deploy 3,236 satellites in low Earth orbit in 2019.",technology,"Amazon to launch its 1st internet satellites in late 2022. Amazon has said it's planning to launch its first satellites for internet services in the fourth quarter of 2022. The company has filed a request with the Federal Communications Commission to launch and operate the first two prototype satellites for Project Kuiper, called KuiperSat-1 and KuiperSat-2. Amazon first announced plans to deploy 3,236 satellites in low Earth orbit in 2019."
Coinbase to buy AI-driven platform Agara in its 1st startup acquisition in India,"Cryptocurrency exchange Coinbase has announced that it's buying Agara, an AI-driven autonomous voice agent startup, in its first startup acquisition in India. The size of the deal for the four-year-old startup, which operates in India and the US, is reportedly $40-50 million. Coinbase India Site Lead Pankaj Gupta said he co-founded Agara in 2017 and left it to join Google.",technology,"Coinbase to buy AI-driven platform Agara in its 1st startup acquisition in India. Cryptocurrency exchange Coinbase has announced that it's buying Agara, an AI-driven autonomous voice agent startup, in its first startup acquisition in India. The size of the deal for the four-year-old startup, which operates in India and the US, is reportedly $40-50 million. Coinbase India Site Lead Pankaj Gupta said he co-founded Agara in 2017 and left it to join Google."
